,Site,Fish_no,Spp,Section,FL_mm,Wt_g,Scale,Mort
549,12,1253,Omy,6,57,1.9,N,N
550,12,1254,Omy,6,49,1.3,N,N
551,12,1255,Omy,6,53,1.5,N,N
552,12,1256,Omy,6,45,0.9,N,N
553,12,1257,Omy,6,44,0.8,N,N
554,13,1301,Omy,5,58,2.6,N,N
555,13,1302,Omy,5,57,2.7,N,N
556,13,1303,Omy,5,64,2.6,N,N
557,13,1304,Omy,5,70,4.1,N,N
558,13,1305,Omy,5,60,2.4,N,N
559,13,1306,Omy,5,63,2.9,N,N
560,13,1307,Omy,5,55,1.9,N,N
561,13,1308,Omy,5,50,1.5,N,N
562,13,1309,Omy,5,62,2.7,N,N
563,13,1310,Omy,5,51,1.4,N,N
564,13,1311,Omy,5,60,2.5,N,N
565,13,1312,Omy,5,52,2.1,N,N
566,13,1313,Omy,5,55,1.9,N,N
567,13,1314,Omy,5,62,2.6,N,N
568,13,1315,Omy,5,57,1.8,N,N
569,13,1316,Omy,4,67,3.4,N,N
570,13,1317,Omy,4,60,2.4,N,N
571,13,1318,Omy,4,62,2.6,N,N
572,13,1319,Omy,4,57,1.9,N,N
573,13,1320,Omy,4,76,4.2,Y,N
574,13,1321,Omy,4,68,3.5,N,N
575,13,1322,Omy,4,56,1.9,N,N
576,13,1323,Omy,4,69,3.7,N,N
577,13,1324,Omy,4,54,1.6,N,N
578,13,1325,Omy,4,70,4.3,N,N
579,13,1326,Omy,4,56,1.9,N,N
580,13,1327,Omy,4,65,2.8,N,N
581,13,1328,Omy,4,65,3.1,N,N
582,13,1329,Omy,4,67,3.7,N,N
583,13,1330,Omy,4,65,2.8,N,N
584,13,1331,Omy,3,71,4.7,N,N
585,13,1332,Omy,3,50,1.3,N,N
586,13,1333,Omy,3,54,1.7,N,N
587,13,1334,Omy,3,71,3.9,N,N
588,13,1335,Omy,3,55,1.8,N,N
589,13,1336,Omy,3,78,5.4,Y,N
590,13,1337,Omy,3,63,3.1,N,N
591,13,1338,Omy,3,65,2.9,N,N
592,13,1339,Omy,3,64,2.9,N,N
593,13,1340,Omy,3,59,2.5,N,N
594,13,1341,Omy,3,55,2.2,N,N
595,13,1342,Omy,3,59,1.9,N,Y
596,13,1343,Omy,3,46,1.2,N,Y
597,13,1344,Omy,3,57,2.2,N,N
598,13,1345,Omy,3,61,2.8,N,N
599,13,1346,Omy,2,68,4,N,N
600,13,1347,Omy,2,69,4.1,N,N
601,13,1348,Omy,2,57,2.2,N,N
602,13,1349,Omy,2,53,1.5,N,N
603,13,1350,Omy,2,64,3.1,N,N
604,13,1351,Omy,2,57,2.1,N,N
605,13,1352,Omy,2,57,2.1,N,N
606,13,1353,Omy,2,53,1.4,N,N
607,13,1354,Omy,2,75,4.9,Y,N
608,13,1355,Omy,2,58,2.1,N,N
609,13,1356,Omy,2,60,2,N,N
610,13,1357,Omy,2,55,1.7,N,N
611,13,1358,Omy,2,50,1.4,N,N
612,13,1359,Omy,2,53,1.7,N,N
613,13,1360,Omy,2,63,2.8,N,N
614,13,1361,Omy,1,68,3.9,N,Y
615,13,1362,Omy,1,69,3.5,N,N
616,13,1363,Omy,1,58,2,N,N
617,13,1364,Omy,1,52,1.4,N,N
618,13,1365,Omy,1,65,2.9,N,N
619,13,1366,Omy,1,72,4.1,N,N
